USER_ID,MOVIE_ID,RATING
20281cc07fdd45752472338179a32338,1294859,4
42724341c24f1dd9ea648ef0e1e29971,1292958,5
0c2fee81b38ef7890c60b5af541e4d5e,1950148,5
7406b2399f115f5de23966b897c08eb5,1422917,5
31338f69c0bc954fff045522044a96b0,1299195,4
84e74389aad961397bcb43d1b4a54f8d,1303573,4
42724341c24f1dd9ea648ef0e1e29971,1293329,5
0a793b8ce2b201d494d6b51b31354303,1316580,5
ddeeee962a150a14d0e51540cab00225,2058751,3
6c356b94c3b73429fbe6bf2689145ba0,1294022,4
4153708c78573a7cbb43754d1f6aba46,2028647,3
3c572fea1e378425f98241af8131a229,2464346,4
0c2fee81b38ef7890c60b5af541e4d5e,1300487,3
bcf598839900f4794f192b4323ef3611,1298497,2
4b27206c76298ec387b57c953d0e7d0e,1307026,3
996487bc86cf8e2626e26013d155200a,1469049,4
0b9031034a2cf1c5f551f2170260c541,1401859,4
337df79c34b17cf37495970204388533,1303710,5
c3a656e2d5cd6aa6b100aa8f8e01417b,1291999,5
6b64b1bb1e45533cf38930913b905d20,1300930,4
2a297e5d385fdde9152b84eb1b299b1b,3136507,4
08e7077f8559b6f0736aa79e4b0613c8,3011022,4
5fe4c2e2087e207bf5d509be7cb72d12,1305869,2
69ae21f6b366769398a266893208e35e,4935242,5
20281cc07fdd45752472338179a32338,1303710,5
656c3ec08c632065969bdcedfcf5bfa9,1295427,4
656c3ec08c632065969bdcedfcf5bfa9,1296669,3
656c3ec08c632065969bdcedfcf5bfa9,1293590,2
4f2f9f78927516b1cacc3a2b0c05deaa,1297127,4
d2567ca313cdb395e61c1189d02c2775,1306885,4
6431babe9fce04cb396bc0f19f3a71d8,1478582,4
5038822fb699e486bc6400d1735918a0,1295629,5
a4a796e1b14d2abf3f6fad49758defd8,1322848,5
6b64b1bb1e45533cf38930913b905d20,1305986,4
52275edb2216f27abf51e0bc50c9689a,1477717,3
43b292257b1ba66c8a59f8b302acec50,2028647,4
4687cd84236fcb50bd09c9b7b817311d,2081376,2
4161c88210adf5de3c5f0acfd9fa5e9e,1299365,5
9204535d700967883afeb6b3f174504c,1301229,4
3eb8ab695d477aa33102131e87c64bbb,1296929,3
6b64b1bb1e45533cf38930913b905d20,1293511,4
a15aeeb669c18867d97dad91808d5aae,1295480,4
79041c755622d5a900470a5dce0e80d9,3690289,5
20281cc07fdd45752472338179a32338,1293745,4
2f79c7eefe4d99366f9118b8d0667847,1294378,5
b2de21eda0138a5e4afa979f4f4ea97b,1304405,4
337df79c34b17cf37495970204388533,1296015,4
337df79c34b17cf37495970204388533,1297203,4
213223bd5e016bbfa85f0f1271be9351,3607666,1
0e0dda7330f4b244208f8a08420916fa,1422917,4
6a52a495bf9f6ed333ae2adbe0e5c166,1433560,3
74fdb870d56c3fe6b02c0c10f6155152,1292574,5
029b4d2d319fe48f4c65b6ee76ae56ce,1298063,4
f4b1d87e309b5e6a4f3b445fb1280dcd,3569910,5
e00ecde6d9fce2a36a8c0d25da567ad2,3136507,3
bcf598839900f4794f192b4323ef3611,1294022,4
0c2fee81b38ef7890c60b5af541e4d5e,1303555,5
647453636c59d18b333e3a74418fc1b5,1298497,4
bcf598839900f4794f192b4323ef3611,1303555,4
6b64b1bb1e45533cf38930913b905d20,4832288,4
656c3ec08c632065969bdcedfcf5bfa9,1294191,5
ef573f2fe2b49d4a3b09bd95c095a5c8,1308715,4
db19554b1aaa73a2e1cd9ef318f903cc,1293492,4
08e7077f8559b6f0736aa79e4b0613c8,1547174,5
ae8b6b0317c9a9ce04a49672def776d0,1296218,4
b9e15b28c4e07807a2005f326cb2da05,2062678,5
4f2f9f78927516b1cacc3a2b0c05deaa,1293299,5
a7b5f6f5d4182364de1fa8e7e511cce4,3053521,3
6a52a495bf9f6ed333ae2adbe0e5c166,1300359,4
54a3f24e8eac35c4dd87b2dde896641c,1302017,4
